Title,Company's Name,Location,Duration,Stipend
HR Consultant,Chit1 Studios,"Chandigarh, Kharar, Rajpura, Mohali, Panchkula",3 Months,"₹ 8,000 - 10,000 "
Human Resources (HR),The Trading Fox,Jaipur,3 Months,"₹ 10,000 - 15,000 "
Marketing,The Grand Heritage Resorts Pune,Pune,6 Months,"₹ 6,000 - 10,000 "
Digital Marketing,International Institute Of Data Science & Technology,Mumbai,6 Months,"₹ 10,000 - 15,000 "
Category,Material Depot,Bangalore,3 Months,"₹ 12,000 - 15,000 "
CSR Platform Coordinator,SuperHuman Race Private Limited,"Mumbai, Delhi",6 Months,"₹ 9,000 - 15,000 "
UrbanTech Operations,Arealis Networks Pvt. Ltd.,Pune,3 Months,"₹ 3,000 - 5,000 "
Operations,Corporate Connections,Rajkot,3 Months,"₹ 15,000 "
Machine Learning,Nxtcode,Work from home,3 Months,"₹ 7,500 - 15,000 "
Data Analytics,Nxtcode,Work from home,3 Months,"₹ 7,500 - 15,000 "
Business Analytics,Constrilink Solutions Private Limited,Work from home,2 Months,"₹ 1,000 - 2,000 lump sum"
Search Engine Optimization (SEO),Pinacle Web India,"Thane, Navi Mumbai, Mumbai, Vashi",3 Months,"₹ 3,000 "
Data Analytics,Emoolar Technology Private Limited,Work from home,3 Months,"₹ 5,000 - 7,000 "
Market Research,Sonia P,Bangalore,6 Months,"₹ 10,000 - 20,000 "
Business Analytics,Ozibook Tech Solutions Private Limited,Work from home,3 Months,"₹ 1,000 "
Data Analytics,Ozibook Tech Solutions Private Limited,Work from home,3 Months,"₹ 1,000 "
Data Science,Aadhvik Technologies,Work from home,1 Month,"₹ 1,000 - 2,000 "
Artificial Neural Networks,Santokyo XiLab,Narsapur,2 Months,Unpaid
Digital Marketing,MerriTale,Work from home,1 Month,"₹ 2,000 "
Market Research,Muenzer Bharat,Navi Mumbai,3 Months,"₹ 8,000 - 10,000 "
Voice Artist (Local Speakers),Graveiens Eduservices Private Limited,Work from home,3 Months,"₹ 10,000 - 20,000 "
Subject Matter Expert (SME),Qodeit,Raipur,6 Months,"₹ 5,000 "
E-Commerce Catalog Management,Adeola Adesanya,Work from home,1 Month,$ 120 - 150 
Data Entry Operator,Talent Corner HR Services,Mumbai,3 Months,"₹ 15,000 lump sum"
Product & Tech Operations (AI Tools + Automation),MUHAMMED MUBASHIR,"Kozhikode, Malappuram, Nilambur, Kalikavu",1 Month,"₹ 2,000 - 3,000 "
Data Analytics,SuperTails,Bangalore,6 Months,"₹ 10,000 - 15,000 "
AI/ML Python,Tellis Technologies Private Limited,Work from home,6 Months,"₹ 5,000 - 8,000 "
Junior Financial Analyst,Talent Corner HR Services,Mumbai,3 Months,"₹ 15,000 lump sum"
E-Commerce Management,Simply Home,Jodhpur,6 Months,"₹ 10,000 "
Content & E-Commerce Management,Codeacious Technologies Private Limited,Noida,6 Months,"₹ 5,000 - 7,000 "
AI/Web App Review  (Content Writer),AppsKite,Work from home,4 Months,"₹ 3,000 - 5,000 "
Process Optimization,Krishna Consultants,Hyderabad,3 Months,"₹ 4,000 - 7,000 "
Founders Office (Fashion),SAERO,Delhi,6 Months,"₹ 10,000 - 15,000 "
