Title,Company's Name,Location,Duration,Stipend
Field Assistant,Jayavantrao Ghyar Patil Sevabhavi Sanstha,Hingoli,2 Months,Unpaid
Data Analytics,Emoolar Technology Private Limited,Work from home,3 Months,"₹ 5,000 - 7,000 "
Data Analytics,Ozibook Tech Solutions Private Limited,Work from home,3 Months,"₹ 1,000 "
Data Science,Aadhvik Technologies,Work from home,1 Month,"₹ 1,000 - 2,000 "
Data Entry,Buoyant Labs Private Limited,Mumbai,2 Months,"₹ 5,000 "
Data Analytics,SuperTails,Bangalore,6 Months,"₹ 10,000 - 15,000 "
Data Entry,Ansa Interiors,Delhi,3 Months,"₹ 2,001 - 6,002 "
Data Entry,Spellerberg Consulting,Work from home,6 Months,"₹ 4,000 - 5,001 "
Data Analytics,Nxtcode,Work from home,3 Months,"₹ 7,500 - 15,000 "
Data Analytics,CollegeTips Ed Tech Media Private Limited,Work from home,1 Month,"₹ 10,000 - 25,000 "
Data Analytics,Water Town Swim School,Work from home,4 Months,"₹ 20,000 - 40,000 "
Data Entry,GNM GROUP,Hyderabad,3 Months,"₹ 18,000 - 25,000 "
Data Entry,Medi Assist Healthcare Private Limited,Bangalore,6 Months,"₹ 12,000 "
Data Entry,Agnitimba Private Limited,Pune,6 Months,"₹ 8,000 - 10,000 "
Data Analytics,Kkonnect.io,Bangalore,3 Months,"₹ 10,000 - 15,000 "
Data Analytics,Deepnexus S,Work from home,3 Months,"₹ 3,000 - 7,000 "
Data Entry,The Thirsty Crow Marketing Services,"Thane, Mumbai",3 Months,"₹ 7,000 - 8,000 "
Data Science,Jivichem Synthesis Private Limited,Work from home,1 Month,"₹ 22,000 "
Data Science,MentorBoxx,Work from home,1 Month,"₹ 10,000 "
Data Entry,Cherag Trader Private Limited,Hyderabad,3 Months,"₹ 18,000 - 26,000 "
Data Entry,The Skill Guru Foundation,Work from home,3 Months,Unpaid
Data Entry,REACHME Private Limited,Work from home,3 Months,"₹ 12,500 - 15,300 "
Data Entry,Ridvig Technologies,Work from home,1 Month,"₹ 1,000 "
Data Engineer,Talent Corner HR Services,Mumbai,3 Months,"₹ 15,000 lump sum"
Data Entry,Saifee Burhani Upliftment Trust,Mumbai,6 Months,"₹ 6,000 - 10,000 "
Data Analyst,Talent Corner HR Services,Mumbai,3 Months,"₹ 15,000 lump sum"
Data Annotation,Daten & Wissen Private Limited,Mumbai,6 Months,"₹ 4,500 - 5,000 "
Data Science,Emoolar Technology Private Limited,Work from home,3 Months,"₹ 5,000 - 7,000 "
Data Analytics,Kyaneos Technologies Private Limited,Work from home,6 Months,"₹ 20,000 - 25,001 "
Data Analytics,The Affordable Organic Store,Hyderabad,6 Months,"₹ 6,000 "
Data Analyst,Khilonamart,Indore,6 Months,"₹ 4,000 - 7,000 "
Data Analytics,Jobyaari,Work from home,4 Months,"₹ 2,000 - 3,000 "
Data Entry,See & Recruit (I) Private Limited,Mumbai,3 Months,"₹ 5,000 - 8,000 "
Data Engineering,WiseAnalytics,Bangalore,2 Months,"₹ 2,000 - 20,000 "
Data Analytics,WiseAnalytics,Bangalore,2 Months,"₹ 2,000 - 20,000 "
Data Visualisation,WiseAnalytics,Bangalore,2 Months,"₹ 2,000 - 20,000 "
Data Science,WiseAnalytics,Bangalore,2 Months,"₹ 2,000 - 20,000 "
Data Analytics,Nestera Realty,Work from home,2 Months,"AED 500 - 1,000 "
Data Entry,The Affordable Organic Store,Work from home,6 Months,"₹ 1,500 "
Data Entry,Sangam Creation,Kolkata,2 Months,"₹ 3,000 - 5,000 "
